"Name";"DisplayName";"Status"
"AJRouter";"AllJoyn Router Service";"Stopped"
"ALG";"Application Layer Gateway Service";"Stopped"
"AppIDSvc";"Application Identity";"Stopped"
"Appinfo";"Application Information";"Running"
"AppMgmt";"Application Management";"Running"
"AppReadiness";"App Readiness";"Stopped"
"AppVClient";"Microsoft App-V Client";"Stopped"
"AppXSvc";"AppX Deployment Service (AppXSVC)";"Stopped"
"aspnet_state";"ASP.NET State Service";"Stopped"
"AssignedAccessManagerSvc";"AssignedAccessManager Service";"Stopped"
"AudioEndpointBuilder";"Windows Audio Endpoint Builder";"Running"
"Audiosrv";"Windows Audio";"Running"
"AxInstSV";"ActiveX Installer (AxInstSV)";"Stopped"
"BcastDVRUserService_a9b9f0b";"GameDVR and Broadcast User Service_a9b9f0b";"Stopped"
"BDESVC";"BitLocker Drive Encryption Service";"Stopped"
"BFE";"Base Filtering Engine";"Running"
"BITS";"Background Intelligent Transfer Service";"Stopped"
"BluetoothUserService_a9b9f0b";"Bluetooth User Support Service_a9b9f0b";"Stopped"
"BrokerInfrastructure";"Background Tasks Infrastructure Service";"Running"
"Browser";"Computer Browser";"Running"
"BTAGService";"Bluetooth Audio Gateway Service";"Stopped"
"BthAvctpSvc";"AVCTP service";"Running"
"bthserv";"Bluetooth Support Service";"Stopped"
"camsvc";"Capability Access Manager Service";"Running"
"CaptureService_a9b9f0b";"CaptureService_a9b9f0b";"Stopped"
"CDPSvc";"Connected Devices Platform Service";"Running"
"CDPUserSvc_a9b9f0b";"Connected Devices Platform User Service_a9b9f0b";"Running"
"CertPropSvc";"Certificate Propagation";"Running"
"ClipSVC";"Client License Service (ClipSVC)";"Stopped"
"COMSysApp";"COM+ System Application";"Stopped"
"CoreMessagingRegistrar";"CoreMessaging";"Running"
"cphs";"Intel(R) Content Protection HECI Service";"Running"
"cplspcon";"Intel(R) Content Protection HDCP Service";"Running"
"CryptSvc";"Cryptographic Services";"Running"
"CscService";"Offline Files";"Stopped"
"DcomLaunch";"DCOM Server Process Launcher";"Running"
"defragsvc";"Optimize drives";"Stopped"
"DeviceAssociationService";"Device Association Service";"Running"
"DeviceInstall";"Device Install Service";"Stopped"
"DevicePickerUserSvc_a9b9f0b";"DevicePicker_a9b9f0b";"Stopped"
"DevicesFlowUserSvc_a9b9f0b";"DevicesFlow_a9b9f0b";"Stopped"
"DevQueryBroker";"DevQuery Background Discovery Broker";"Stopped"
"Dhcp";"DHCP Client";"Running"
"diagnosticshub.standardcollector.service";"Microsoft (R) Diagnostics Hub Standard Collector Service";"Stopped"
"diagsvc";"Diagnostic Execution Service";"Stopped"
"DiagTrack";"Connected User Experiences and Telemetry";"Running"
"DigitalWave.Update.Service";"Digital Wave Update Service";"Running"
"DmEnrollmentSvc";"Device Management Enrollment Service";"Stopped"
"dmwappushservice";"dmwappushsvc";"Stopped"
"Dnscache";"DNS Client";"Running"
"DoSvc";"Delivery Optimization";"Running"
"dot3svc";"Wired AutoConfig";"Running"
"DPS";"Diagnostic Policy Service";"Running"
"DsmSvc";"Device Setup Manager";"Stopped"
"DsSvc";"Data Sharing Service";"Running"
"DusmSvc";"Data Usage";"Running"
"Eaphost";"Extensible Authentication Protocol";"Running"
"EFS";"Encrypting File System (EFS)";"Running"
"embeddedmode";"Embedded Mode";"Stopped"
"EntAppSvc";"Enterprise App Management Service";"Stopped"
"esifsvc";"ESIF Upper Framework Service";"Running"
"EventLog";"Windows Event Log";"Running"
"EventSystem";"COM+ Event System";"Running"
"Fax";"Fax";"Stopped"
"fdPHost";"Function Discovery Provider Host";"Stopped"
"FDResPub";"Function Discovery Resource Publication";"Stopped"
"fhsvc";"File History Service";"Stopped"
"FontCache";"Windows Font Cache Service";"Running"
"FontCache3.0.0.0";"Windows Presentation Foundation Font Cache 3.0.0.0";"Running"
"FrameServer";"Windows Camera Frame Server";"Stopped"
"GoogleChromeElevationService";"Google Chrome Elevation Service";"Stopped"
"gpsvc";"Group Policy Client";"Running"
"GraphicsPerfSvc";"GraphicsPerfSvc";"Stopped"
"gupdate";"Google Update Service (gupdate)";"Stopped"
"gupdatem";"Google Update Service (gupdatem)";"Stopped"
"hidserv";"Human Interface Device Service";"Running"
"HvHost";"HV Host Service";"Stopped"
"icssvc";"Windows Mobile Hotspot Service";"Stopped"
"igfxCUIService2.0.0.0";"Intel(R) HD Graphics Control Panel Service";"Running"
"IKEEXT";"IKE and AuthIP IPsec Keying Modules";"Stopped"
"InstallService";"Microsoft Store Install Service";"Running"
"iphlpsvc";"IP Helper";"Running"
"IpxlatCfgSvc";"IP Translation Configuration Service";"Stopped"
"irmon";"Infrared monitor service";"Stopped"
"KeyIso";"CNG Key Isolation";"Running"
"KtmRm";"KtmRm for Distributed Transaction Coordinator";"Stopped"
"LanmanServer";"Server";"Running"
"LanmanWorkstation";"Workstation";"Running"
"lfsvc";"Geolocation Service";"Running"
"LicenseManager";"Windows License Manager Service";"Running"
"lltdsvc";"Link-Layer Topology Discovery Mapper";"Stopped"
"lmhosts";"TCP/IP NetBIOS Helper";"Running"
"LSM";"Local Session Manager";"Running"
"LxpSvc";"Language Experience Service";"Stopped"
"MapsBroker";"Downloaded Maps Manager";"Stopped"
"MessagingService_a9b9f0b";"MessagingService_a9b9f0b";"Stopped"
"MozillaMaintenance";"Mozilla Maintenance Service";"Stopped"
"mpssvc";"Windows Defender Firewall";"Running"
"MSDTC";"Distributed Transaction Coordinator";"Stopped"
"MSiSCSI";"Microsoft iSCSI Initiator Service";"Stopped"
"msiserver";"Windows Installer";"Stopped"
"NaturalAuthentication";"Natural Authentication";"Stopped"
"NcaSvc";"Network Connectivity Assistant";"Stopped"
"NcbService";"Network Connection Broker";"Running"
"NcdAutoSetup";"Network Connected Devices Auto-Setup";"Running"
"Netlogon";"Netlogon";"Stopped"
"Netman";"Network Connections";"Running"
"netprofm";"Network List Service";"Running"
"NetSetupSvc";"Network Setup Service";"Stopped"
"NetTcpPortSharing";"Net.Tcp Port Sharing Service";"Stopped"
"NgcCtnrSvc";"Microsoft Passport Container";"Stopped"
"NgcSvc";"Microsoft Passport";"Stopped"
"NlaSvc";"Network Location Awareness";"Running"
"nsi";"Network Store Interface Service";"Running"
"OneSyncSvc_a9b9f0b";"Sync Host_a9b9f0b";"Running"
"OpenVPNService";"OpenVPNService";"Stopped"
"OpenVPNServiceInteractive";"OpenVPN Interactive Service";"Running"
"OpenVPNServiceLegacy";"OpenVPN Legacy Service";"Stopped"
"ose64";"Office 64 Source Engine";"Stopped"
"p2pimsvc";"Peer Networking Identity Manager";"Stopped"
"p2psvc";"Peer Networking Grouping";"Stopped"
"PcaSvc";"Program Compatibility Assistant Service";"Running"
"PeerDistSvc";"BranchCache";"Stopped"
"PerfHost";"Performance Counter DLL Host";"Stopped"
"PhoneSvc";"Phone Service";"Running"
"PimIndexMaintenanceSvc_a9b9f0b";"Contact Data_a9b9f0b";"Running"
"pla";"Performance Logs & Alerts";"Stopped"
"PlugPlay";"Plug and Play";"Running"
"PNRPAutoReg";"PNRP Machine Name Publication Service";"Stopped"
"PNRPsvc";"Peer Name Resolution Protocol";"Stopped"
"PolicyAgent";"IPsec Policy Agent";"Running"
"Power";"Power";"Running"
"PrintNotify";"Printer Extensions and Notifications";"Stopped"
"PrintWorkflowUserSvc_a9b9f0b";"PrintWorkflow_a9b9f0b";"Stopped"
"ProfSvc";"User Profile Service";"Running"
"PushToInstall";"Windows PushToInstall Service";"Stopped"
"QWAVE";"Quality Windows Audio Video Experience";"Stopped"
"RasAuto";"Remote Access Auto Connection Manager";"Stopped"
"RasMan";"Remote Access Connection Manager";"Running"
"RemoteAccess";"Routing and Remote Access";"Stopped"
"RemoteRegistry";"Remote Registry";"Stopped"
"RetailDemo";"Retail Demo Service";"Stopped"
"RmSvc";"Radio Management Service";"Running"
"RpcEptMapper";"RPC Endpoint Mapper";"Running"
"RpcLocator";"Remote Procedure Call (RPC) Locator";"Stopped"
"RpcSs";"Remote Procedure Call (RPC)";"Running"
"RtkAudioService";"Realtek Audio Service";"Running"
"SamSs";"Security Accounts Manager";"Running"
"SCardSvr";"Smart Card";"Stopped"
"ScDeviceEnum";"Smart Card Device Enumeration Service";"Stopped"
"Schedule";"Task Scheduler";"Running"
"SCPolicySvc";"Smart Card Removal Policy";"Stopped"
"SDRSVC";"Windows Backup";"Stopped"
"seclogon";"Secondary Logon";"Stopped"
"SecurityHealthService";"Windows Defender Security Center Service";"Running"
"sedsvc";"Windows Remediation Service";"Running"
"SEMgrSvc";"Payments and NFC/SE Manager";"Stopped"
"SENS";"System Event Notification Service";"Running"
"Sense";"Windows Defender Advanced Threat Protection Service";"Stopped"
"SensorDataService";"Sensor Data Service";"Stopped"
"SensorService";"Sensor Service";"Running"
"SensrSvc";"Sensor Monitoring Service";"Stopped"
"SessionEnv";"Remote Desktop Configuration";"Running"
"SgrmBroker";"System Guard Runtime Monitor Broker";"Running"
"SharedAccess";"Internet Connection Sharing (ICS)";"Stopped"
"SharedRealitySvc";"Spatial Data Service";"Stopped"
"ShellHWDetection";"Shell Hardware Detection";"Running"
"shpamsvc";"Shared PC Account Manager";"Stopped"
"smphost";"Microsoft Storage Spaces SMP";"Stopped"
"SmsRouter";"Microsoft Windows SMS Router Service.";"Stopped"
"SNMPTRAP";"SNMP Trap";"Stopped"
"spectrum";"Windows Perception Service";"Stopped"
"Spooler";"Print Spooler";"Running"
"sppsvc";"Software Protection";"Stopped"
"SQLWriter";"SQL Server VSS Writer";"Running"
"SSDPSRV";"SSDP Discovery";"Running"
"ssh-agent";"OpenSSH Authentication Agent";"Stopped"
"SstpSvc";"Secure Socket Tunneling Protocol Service";"Running"
"StateRepository";"State Repository Service";"Running"
"stisvc";"Windows Image Acquisition (WIA)";"Running"
"StorSvc";"Storage Service";"Running"
"svsvc";"Spot Verifier";"Stopped"
"swprv";"Microsoft Software Shadow Copy Provider";"Stopped"
"SynTPEnhService";"SynTPEnh Caller Service";"Running"
"SysMain";"Superfetch";"Running"
"SystemEventsBroker";"System Events Broker";"Running"
"TabletInputService";"Touch Keyboard and Handwriting Panel Service";"Running"
"TapiSrv";"Telephony";"Stopped"
"TermService";"Remote Desktop Services";"Running"
"Themes";"Themes";"Running"
"TieringEngineService";"Storage Tiers Management";"Stopped"
"TimeBrokerSvc";"Time Broker";"Running"
"TokenBroker";"Web Account Manager";"Running"
"TrkWks";"Distributed Link Tracking Client";"Running"
"TrustedInstaller";"Windows Modules Installer";"Stopped"
"tzautoupdate";"Auto Time Zone Updater";"Stopped"
"UevAgentService";"User Experience Virtualization Service";"Stopped"
"UmRdpService";"Remote Desktop Services UserMode Port Redirector";"Running"
"UnistoreSvc_a9b9f0b";"User Data Storage_a9b9f0b";"Running"
"upnphost";"UPnP Device Host";"Stopped"
"UserDataSvc_a9b9f0b";"User Data Access_a9b9f0b";"Running"
"UserManager";"User Manager";"Running"
"uSHAREitSvc";"SHAREit Hotspot Service";"Stopped"
"UsoSvc";"Update Orchestrator Service";"Running"
"VacSvc";"Volumetric Audio Compositor Service";"Stopped"
"VaultSvc";"Credential Manager";"Running"
"VC10SecS";"Virtual CD v10 Management Service";"Running"
"vds";"Virtual Disk";"Stopped"
"VMAuthdService";"VMware Authorization Service";"Running"
"vmicguestinterface";"Hyper-V Guest Service Interface";"Stopped"
"vmicheartbeat";"Hyper-V Heartbeat Service";"Stopped"
"vmickvpexchange";"Hyper-V Data Exchange Service";"Stopped"
"vmicrdv";"Hyper-V Remote Desktop Virtualization Service";"Stopped"
"vmicshutdown";"Hyper-V Guest Shutdown Service";"Stopped"
"vmictimesync";"Hyper-V Time Synchronization Service";"Stopped"
"vmicvmsession";"Hyper-V PowerShell Direct Service";"Stopped"
"vmicvss";"Hyper-V Volume Shadow Copy Requestor";"Stopped"
"VMnetDHCP";"VMware DHCP Service";"Running"
"VMUSBArbService";"VMware USB Arbitration Service";"Running"
"VMware NAT Service";"VMware NAT Service";"Running"
"VMwareHostd";"VMware Workstation Server";"Stopped"
"VSS";"Volume Shadow Copy";"Stopped"
"VSStandardCollectorService150";"Visual Studio Standard Collector Service 150";"Stopped"
"W32Time";"Windows Time";"Stopped"
"WaaSMedicSvc";"Windows Update Medic Service";"Stopped"
"WalletService";"WalletService";"Stopped"
"WarpJITSvc";"WarpJITSvc";"Running"
"WavesSysSvc";"Waves Audio Services";"Running"
"wbengine";"Block Level Backup Engine Service";"Stopped"
"WbioSrvc";"Windows Biometric Service";"Stopped"
"WCAssistantService";"WC Assistant";"Running"
"Wcmsvc";"Windows Connection Manager";"Running"
"wcncsvc";"Windows Connect Now - Config Registrar";"Stopped"
"WdiServiceHost";"Diagnostic Service Host";"Running"
"WdiSystemHost";"Diagnostic System Host";"Running"
"WdNisSvc";"Windows Defender Antivirus Network Inspection Service";"Running"
"WebClient";"WebClient";"Stopped"
"Wecsvc";"Windows Event Collector";"Stopped"
"WEPHOSTSVC";"Windows Encryption Provider Host Service";"Stopped"
"wercplsupport";"Problem Reports and Solutions Control Panel Support";"Stopped"
"WerSvc";"Windows Error Reporting Service";"Stopped"
"WFDSConMgrSvc";"Wi-Fi Direct Services Connection Manager Service";"Stopped"
"WiaRpc";"Still Image Acquisition Events";"Stopped"
"WinDefend";"Windows Defender Antivirus Service";"Running"
"WinHttpAutoProxySvc";"WinHTTP Web Proxy Auto-Discovery Service";"Running"
"Winmgmt";"Windows Management Instrumentation";"Running"
"WinRM";"Windows Remote Management (WS-Management)";"Stopped"
"wisvc";"Windows Insider Service";"Stopped"
"WlanSvc";"WLAN AutoConfig";"Running"
"wlidsvc";"Microsoft Account Sign-in Assistant";"Running"
"wlpasvc";"Local Profile Assistant Service";"Stopped"
"wmiApSrv";"WMI Performance Adapter";"Stopped"
"WMPNetworkSvc";"Windows Media Player Network Sharing Service";"Stopped"
"workfolderssvc";"Work Folders";"Stopped"
"WpcMonSvc";"Parental Controls";"Stopped"
"WPDBusEnum";"Portable Device Enumerator Service";"Stopped"
"WpnService";"Windows Push Notifications System Service";"Running"
"WpnUserService_a9b9f0b";"Windows Push Notifications User Service_a9b9f0b";"Running"
"wscsvc";"Security Center";"Running"
"WSearch";"Windows Search";"Running"
"wuauserv";"Windows Update";"Stopped"
"WwanSvc";"WWAN AutoConfig";"Stopped"
"xbgm";"Xbox Game Monitoring";"Stopped"
"XblAuthManager";"Xbox Live Auth Manager";"Stopped"
"XblGameSave";"Xbox Live Game Save";"Stopped"
"XboxGipSvc";"Xbox Accessory Management Service";"Stopped"
"XboxNetApiSvc";"Xbox Live Networking Service";"Stopped"
